Sample_num,site,date,Month,Season,SeasonA,Year,Jul_date,Temp.ysi,Sal.ysi,TL,SL,body_wwt,sex,liver_wwt,stom_full_code,stomach_per_full,HSIwet,HSI_wet,lipid_num,liverFA,muscleFA,Harp,Gammarid,Poly,calanoid,crab,Caprellidae,Isopod,gastropod,Corphiidae,Shrimp,cumacea,Euphasid,Mysid,OTHER,Harp4,Gammarid4,Poly4,calanoid4,crab4,Caprellidae4,Isopod4,gastropod4,Corphiidae4,Shrimp4,cumacea4
135,Lam East,8/21/2018,Aug,Summer,Aug-Dec,2018,233,11.4,31,98,91,9.2871,F,0.0663,5,6.33,0.008610725,0.0076801,136L,3.887,96.113,0,0.129533679,97.19343696,0,0,0.690846287,0,0,0,0,1.986183074,0,0,0,0,0.5999,3.1399,0,0,0.9117,0,0,0,0,1.1871
267,EG South,8/21/2020,Aug,Summer,Aug-Dec,2020,234,13.1,31.7,90,85,5.9001,I,0.0319,4,6.22,NA,0.005798629,369L,5.519,94.481,3.047404063,96.95259594,0,0,0,0,0,0,0,0,0,0,0,0,1.3212,3.1379,0,0,0,0,0,0,0,0,0
268,EG South,8/21/2020,Aug,Summer,Aug-Dec,2020,234,13.1,31.7,86,81,5.0101,I,0.0357,4,4.84,NA,0.007544219,370L,2.748,97.252,0,40.51724138,0,0,36.20689655,23.27586207,0,0,0,0,0,0,0,0,0,2.523,0,0,2.453,2.1965,0,0,0,0,0
269,EG South,8/21/2020,Aug,Summer,Aug-Dec,2020,234,13.1,31.7,98,93,8.2014,I,0.0579,6,11.44,NA,0.008035751,371L,10.285,89.715,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1623,0,0,0,0,0,0,0,0,0
270,EG South,8/21/2020,Aug,Summer,Aug-Dec,2020,234,13.1,31.7,83,78,4.4455,I,0.0379,4,4.89,NA,0.009044914,372L,2.181,97.819,0.142045455,0,0,0,10.65340909,89.20454545,0,0,0,0,0,0,0,0,0.6139,0,0,0,1.8066,3.0732,0,0,0,0,0
271,EG South,8/21/2020,Aug,Summer,Aug-Dec,2020,234,13.1,31.7,95,88,7.5158,I,0.0282,3,4.1,NA,0.003927686,373L,0.841,99.159,0.337837838,0,0,0,0,99.66216216,0,0,0,0,0,0,0,0,0.7624,0,0,0,0,3.1596,0,0,0,0,0
272,EG South,8/21/2020,Aug,Summer,Aug-Dec,2020,234,13.1,31.7,64,60,2.0039,I,0.0063,3,3.85,NA,0.003280396,374L,1.5,98.5,16.66666667,0,0,0,0,0,83.33333333,0,0,0,0,0,0,0,2.0205,0,0,0,0,0,3.0214,0,0,0,0
273,EG South,8/21/2020,Aug,Summer,Aug-Dec,2020,234,13.1,31.7,66,61,2.2426,I,0.0078,5,7.35,NA,0.003768298,375L,1.615,98.385,0,84.40944882,8.818897638,0,0,0,0,0,0,0,6.771653543,0,0,0,0,3.0311,1.7233,0,0,0,0,0,0,0,1.6131
274,EG South,8/21/2020,Aug,Summer,Aug-Dec,2020,234,13.1,31.7,98,91,7.8667,I,0.0301,4,4.15,NA,0.004007829,376L,0.89,99.11,0,0,86.40394089,0,0,6.699507389,0,0,6.896551724,0,0,0,0,0,0,0,3.0488,0,0,1.6088,0,0,1.6205,0,0
275,EG South,8/21/2020,Aug,Summer,Aug-Dec,2020,234,13.1,31.7,89,82,5.2554,I,0.0102,3,3.06,NA,0.002006097,377L,1.735,98.265,0.8,0,0,0,0,99.2,0,0,0,0,0,0,0,0,0.9457,0,0,0,0,3.1559,0,0,0,0,0
