Species,Specimen_num,bay,site #,date,Month,Year,J_date,temp,sal,capture method,age,TL,SL,wwt,sex,liver_wwt,mksht_body_evics_wwt,per_stom_wt,Kwet,Kwet_evic,HIS_wet,per_liver_FA,per_musc_FA,liver_bi,muscle_bi,WholeAnimal,liver_FA_conc,muscle_FA_conc
Pacific cod,EFH18/19-302,Cook Bay,EG South,10/16/2020,Oct,2020,290,8.6,31.4,beach seine,0,115,107,12.9382,I,0.1284,NA,6.98,0.85,0.78,1.0783392,8.552,91.448,0.08552,0.91448,5.619,44.558,5.138
Pacific cod,EFH18/19-218,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,114,105,13.0347,I,0.0893,NA,7.52,0.88,0.81,0.7463373,4.782,95.218,0.04782,0.95218,3.596,23.045,3.424
Pacific cod,EFH18/19-142,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,109,101,13.2919,M,0.0963,10.5219,10.51,1.03,0.91,0.8161639,19.819,80.181,0.19819,0.80181,5.163,111.794,4.139
Pacific cod,EFH18/19-291,Cook Bay,EG South,10/16/2020,Oct,2020,290,8.6,31.4,beach seine,0,118,110,13.9083,I,0.1185,NA,3.7,0.85,0.81,0.8926352,3.383,96.617,0.03383,0.96617,4.139,15.686,3.999
Pacific cod,EFH18/19-304,Cook Bay,EG South,10/16/2020,Oct,2020,290,8.6,31.4,beach seine,0,125,116,15.5129,M,0.2394,NA,4.08,0.79,0.75,1.6351119,40.453,59.547,0.40453,0.59547,7.037,174.103,4.191
Pacific cod,EFH18/19-143,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,116,108,15.9258,M,0.3312,13.0354,6.2,1.02,0.94,2.2673129,30.624,69.376,0.30624,0.69376,6.450,77.746,4.475
Pacific cod,EFH18/19-155,Cook Bay,Lam North,10/8/2018,Oct,2018,281,8.9,31,beach seine,0,120,112,15.9885,M,0.1509,13.544,5.91,0.93,0.86,1.0132957,17.714,82.286,0.17714,0.82286,3.338,53.073,2.747
Pacific cod,EFH18/19-169,Cook Bay,EG West,9/25/2018,Sept,2018,268,11,32,beach seine,0,120,111,16.7408,F,0.1177,13.815,9.57,0.97,0.87,0.7836062,6.646,93.354,0.06646,0.93354,5.798,45.232,5.413
Pacific cod,EFH18/19-226,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,129,119,17.4,I,0.2261,NA,6.87,0.81,0.74,1.4150264,26.644,73.356,0.26644,0.73356,3.306,62.243,2.425
Pacific cod,EFH18/19-299,Cook Bay,EG South,10/16/2020,Oct,2020,290,8.6,31.4,beach seine,0,134,125,20.6578,M,0.3915,NA,2.14,0.86,0.82,1.9747992,40.278,59.722,0.40278,0.59722,7.568,154.348,4.520
Pacific cod,EFH18/19-296,Cook Bay,EG South,10/16/2020,Oct,2020,290,8.6,31.4,beach seine,0,133,124,21.8445,I,0.2401,NA,5.26,0.93,0.87,1.1738248,19.231,80.769,0.19231,0.80769,4.007,65.655,3.237
