Species,Specimen_num,bay,site #,date,Month,Year,J_date,temp,sal,capture method,age,TL,SL,wwt,sex,liver_wwt,mksht_body_evics_wwt,per_stom_wt,Kwet,Kwet_evic,HIS_wet,per_liver_FA,per_musc_FA,liver_bi,muscle_bi,WholeAnimal,liver_FA_conc,muscle_FA_conc
Pacific cod,EFH18/19-150,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,87,81,5.7342,M,0.0564,4.8478,5.23,0.87,0.82,1.048756,26.889,73.111,0.26889,0.73111,4.743,109.629,3.468
Pacific cod,EFH18/19-159,Cook Bay,EG West,12/3/2018,Dec,2018,337,5.1,31,beach seine,0,91,84,5.7518,M,0.1157,4.9341,3.24,0.76,0.72,2.1230137,34.016,65.984,0.34016,0.65984,5.787,83.943,3.818
Pacific cod,EFH18/19-160,Cook Bay,EG West,12/3/2018,Dec,2018,337,5.1,31,beach seine,0,88,84,5.8443,M,0.0611,4.744,8.05,0.86,0.78,1.1500527,14.918,85.082,0.14918,0.85082,3.431,39.746,2.919
Pacific cod,EFH18/19-225,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,91,84,5.8459,I,0.0976,NA,3.67,0.78,0.73,1.7637704,14.759,85.241,0.14759,0.85241,5.594,46.807,4.768
Pacific cod,EFH18/19-267,Cook Bay,EG South,8/21/2020,Aug,2020,234,13.1,31.7,beach seine,0,90,85,5.9001,I,0.0319,NA,6.22,0.81,0.75,0.5798629,5.519,94.481,0.05519,0.94481,2.423,23.059,2.289
Pacific cod,EFH18/19-172,Cook Bay,EG West,9/25/2018,Sept,2018,268,11,32,beach seine,0,92,85,5.9044,M,0.0107,5.0778,4.83,0.76,0.72,0.1907716,0.897,99.103,0.00897,0.99103,4.107,17.490,4.070
Pacific cod,EFH18/19-290,Cook Bay,EG South,10/16/2020,Oct,2020,290,8.6,31.4,beach seine,0,90,83,6.0526,I,0.0583,NA,4.27,0.83,0.79,1.0164232,2.848,97.152,0.02848,0.97152,5.627,15.768,5.467
Pacific cod,EFH18/19-287,Cook Bay,EG South,10/16/2020,Oct,2020,290,8.6,31.4,beach seine,0,91,84,6.0688,I,0.0476,NA,3.75,0.81,0.77,0.8215962,4.547,95.453,0.04547,0.95453,2.811,15.556,2.683
Pacific cod,EFH18/19-146,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,91,84,6.1377,M,0.0609,5.2115,3.58,0.81,0.78,1.0398185,16.336,83.664,0.16336,0.83664,5.664,79.187,4.739
Pacific cod,EFH18/19-295,Cook Bay,EG South,10/16/2020,Oct,2020,290,8.6,31.4,beach seine,0,92,86,6.2127,I,0.0445,NA,3.99,0.8,0.76,0.7516257,2.867,97.133,0.02867,0.97133,3.133,11.949,3.043
Pacific cod,EFH18/19-148,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,90,84,6.2681,M,0.0513,5.2138,7.81,0.86,0.79,0.89571,16.096,83.904,0.16096,0.83904,5.547,90.745,4.654
Pacific cod,EFH18/19-214,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,90,84,6.3021,I,0.0523,NA,5.73,0.86,0.81,0.8881719,6.098,93.902,0.06098,0.93902,3.752,25.759,3.523
Pacific cod,EFH18/19-162,Cook Bay,EG South,9/25/2018,Sept,2018,268,10,24,beach seine,0,91,85,6.3319,M,0.0241,5.5052,4.91,0.84,0.8,0.4018877,3.241,96.759,0.03241,0.96759,3.008,22.270,2.910
