Species,Specimen_num,bay,site,date_cap,Month,Year,Jul_date,temp,sal,net,age,TL,SL,body_wwt,sex,liver_wwt,stom_full_code,stomach_per,HSIwet,HSI_wet,lipid_num,per_liver_lipid ,per_mus_lipid
Pacific cod,EFH18/19-129,Cook Bay,EG North,8/21/2018,Aug,2018,233,11.5,30.8,beach seine,0,81,76,5.0264,M,0.0615,5,5.26,0.014475016,1.3083436,130L,6.796,93.204
Pacific cod,EFH18/19-130,Cook Bay,EG North,8/21/2018,Aug,2018,233,11.5,30.8,beach seine,0,64,60,2.2809,I,0.0167,4,3.75,0.008855658,0.7665473,131L,4.314,95.686
Pacific cod,EFH18/19-131,Cook Bay,EG North,8/21/2018,Aug,2018,233,11.5,30.8,beach seine,0,86,80,5.6983,M,0.0477,5,5.84,0.009885396,0.8970212,132L,5.387,94.613
Pacific cod,EFH18/19-132,Cook Bay,EG North,8/21/2018,Aug,2018,233,11.5,30.8,beach seine,0,84,78,5.2251,F,0.0534,6,8.7,0.012367123,1.1320035,133L,5.2,94.8
Pacific cod,EFH18/19-133,Cook Bay,EG North,8/21/2018,Aug,2018,233,11.5,30.8,beach seine,0,71,77,4.1499,F,0.024,4,4.07,0.006820313,0.6064894,134L,1.905,98.095
Pacific cod,EFH18/19-134,Cook Bay,EG North,8/21/2018,Aug,2018,233,11.5,30.8,beach seine,0,65,60,2.2988,I,0.0082,4,4.02,0.004237945,0.3730155,135L,1.995,98.005
Pacific cod,EFH18/19-135,Cook Bay,Lam East,8/21/2018,Aug,2018,233,11.4,31,beach seine,0,98,91,9.2871,F,0.0663,5,6.33,0.008610725,0.76801,136L,3.887,96.113
Pacific cod,EFH18/19-136,Cook Bay,EG South,10/8/2018,Oct,2018,281,9.3,30,beach seine,0,98,93,9.2782,M,0.0469,6,8.82,0.006176254,0.5574573,137L,5.256,94.744
Pacific cod,EFH18/19-137,Cook Bay,EG South,10/8/2018,Oct,2018,281,9.3,30,beach seine,0,79,74,4.3079,M,0.0161,6,7.7,0.004656274,0.4065349,138L,2.511,97.489
Pacific cod,EFH18/19-138,Cook Bay,EG South,10/8/2018,Oct,2018,281,9.3,30,beach seine,0,94,87,7.9803,M,0.0696,7,13.92,0.011423694,1.0234993,139L,19.58,80.42
Pacific cod,EFH18/19-139,Cook Bay,EG South,10/8/2018,Oct,2018,281,9.3,30,beach seine,0,87,80,4.6801,M,0.0205,3,2.79,0.005008796,0.4526585,140L,1.419,98.581
Pacific cod,EFH18/19-140,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,97,91,7.4862,M,0.076,5,6.8,0.011985302,1.1013056,141L,12.398,87.602
Pacific cod,EFH18/19-141,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,103,96,9.2405,F,0.1123,6,6.85,0.014581196,1.3218607,142L,30.442,69.558
Pacific cod,EFH18/19-142,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,109,101,13.2919,M,0.0963,7,10.51,0.009152339,0.8161639,143L,19.819,80.181
Pacific cod,EFH18/19-143,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,116,108,15.9258,M,0.3312,5,6.2,0.025407736,2.2673129,144L,30.624,69.376
Pacific cod,EFH18/19-144,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,98,91,7.8496,M,0.1924,5,5.84,0.029250346,2.6726305,145L,68.634,31.366
Pacific cod,EFH18/19-145,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,93,87,7.4606,M,0.0472,5,6.53,0.007628036,0.6814605,146L,12.197,87.803
Pacific cod,EFH18/19-146,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,91,84,6.1377,M,0.0609,4,3.58,0.011685695,1.0398185,147L,16.336,83.664
Pacific cod,EFH18/19-147,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,88,83,6.5617,M,0.0653,6,8.94,0.012400304,1.1049256,148L,22.936,77.064
Pacific cod,EFH18/19-148,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,90,84,6.2681,M,0.0513,6,7.81,0.009839273,0.89571,149L,16.096,83.904
Pacific cod,EFH18/19-149,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,94,88,7.7853,M,0.1056,6,6.45,0.016449111,1.4712029,150L,21.145,78.855
Pacific cod,EFH18/19-150,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,87,81,5.7342,M,0.0564,6,5.23,0.011634143,1.048756,151L,26.889,73.111
Pacific cod,EFH18/19-151,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,88,82,5.2782,M,0.0346,6,7.49,0.007998336,0.7136964,152L,9.662,90.338
Pacific cod,EFH18/19-152,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,106,99,9.8655,M,0.0705,4,3.43,0.008106616,0.7454874,153L,4.964,95.036
Pacific cod,EFH18/19-153,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,95,87,6.8869,M,0.0602,6,6.72,0.01027865,0.9459608,154L,29.065,70.935
Pacific cod,EFH18/19-154,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,100,94,9.2933,M,0.0425,6,7.02,0.005464411,0.4942608,155L,11.133,88.867
Pacific cod,EFH18/19-155,Cook Bay,Lam North,10/8/2018,Oct,2018,281,8.9,31,beach seine,0,120,112,15.9885,M,0.1509,6,5.91,0.011141465,1.0132957,156L,17.714,82.286
Pacific cod,EFH18/19-156,Cook Bay,EG West,12/3/2018,Dec,2018,337,5.1,31,beach seine,0,85,80,5.5084,M,0.1272,2,10.33,0.031551532,2.6433366,157L,36.183,63.817
Pacific cod,EFH18/19-157,Cook Bay,EG West,12/3/2018,Dec,2018,337,5.1,31,beach seine,0,102,95,8.9747,M,0.2421,3,2.83,0.031147478,2.8554579,158L,45.336,54.664
Pacific cod,EFH18/19-158,Cook Bay,EG West,12/3/2018,Dec,2018,337,5.1,31,beach seine,0,103,96,8.2828,M,0.1203,5,5.13,0.016580525,1.5547457,159L,23.507,76.493
Pacific cod,EFH18/19-159,Cook Bay,EG West,12/3/2018,Dec,2018,337,5.1,31,beach seine,0,91,84,5.7518,M,0.1157,2,3.24,0.023449059,2.1230137,160L,34.016,65.984
Pacific cod,EFH18/19-160,Cook Bay,EG West,12/3/2018,Dec,2018,337,5.1,31,beach seine,0,88,84,5.8443,M,0.0611,6,8.05,0.012879427,1.1500527,161L,14.918,85.082
Pacific cod,EFH18/19-161,Cook Bay,EG South,9/25/2018,Sept,2018,268,10,24,beach seine,0,98,91,6.6597,M,0.0105,3,2.66,0.001785411,0.1622373,162L,0.955,99.045
Pacific cod,EFH18/19-162,Cook Bay,EG South,9/25/2018,Sept,2018,268,10,24,beach seine,0,91,85,6.3319,M,0.0241,5,4.91,0.004377679,0.4018877,163L,3.241,96.759
Pacific cod,EFH18/19-163,Cook Bay,EG South,9/25/2018,Sept,2018,268,10,24,beach seine,0,83,76,4.3754,M,0.0221,6,4.73,0.005786552,0.5329796,164L,2.948,97.052
Pacific cod,EFH18/19-164,Cook Bay,EG South,9/25/2018,Sept,2018,268,10,24,beach seine,0,84,77,4.9677,M,0.0091,6,9.82,0.002247413,0.2035339,165L,1.787,98.213
Pacific cod,EFH18/19-165,Cook Bay,EG South,9/25/2018,Sept,2018,268,10,24,beach seine,0,99,92,7.5864,M,0.0419,5,4.41,0.006226039,0.5811696,166L,3.138,96.862
Pacific cod,EFH18/19-166,Cook Bay,EG South,9/25/2018,Sept,2018,268,10,24,beach seine,0,78,72,3.2672,F,0.0345,5,4.53,0.011959235,1.1184594,167L,20.569,79.431
Pacific cod,EFH18/19-167,Cook Bay,EG South,9/25/2018,Sept,2018,268,10,24,beach seine,0,86,80,5.3554,M,0.0263,6,10.27,0.005999772,0.5503128,168L,4.421,95.579
Pacific cod,EFH18/19-168,Cook Bay,EG South,9/25/2018,Sept,2018,268,10,24,beach seine,0,76,70,2.7813,M,0.0204,4,3.82,0.008416883,0.7684774,169L,3.601,96.399
Pacific cod,EFH18/19-169,Cook Bay,EG West,9/25/2018,Sept,2018,268,11,32,beach seine,0,120,111,16.7408,F,0.1177,6,9.57,0.008519725,0.7836062,170L,6.646,93.354
Pacific cod,EFH18/19-170,Cook Bay,EG West,9/25/2018,Sept,2018,268,11,32,beach seine,0,84,77,4.3631,M,0.0069,3,3.79,0.001792767,0.1646464,171L,0.555,99.445
Pacific cod,EFH18/19-171,Cook Bay,EG West,9/25/2018,Sept,2018,268,11,32,beach seine,0,96,89,7.4213,F,0.0087,7,7.01,0.001398691,0.1262223,172L,0.455,99.545
Pacific cod,EFH18/19-172,Cook Bay,EG West,9/25/2018,Sept,2018,268,11,32,beach seine,0,92,85,5.9044,M,0.0107,4,4.83,0.002107212,0.1907716,173L,0.897,99.103
Pacific cod,EFH18/19-173,Cook Bay,EG West,9/25/2018,Sept,2018,268,11,32,beach seine,0,68,63,2.3472,I,0.0093,6,4.24,0.004833177,0.4154939,174L,3.354,96.646
Pacific cod,EFH18/19-174,Cook Bay,EG West,9/25/2018,Sept,2018,268,11,32,beach seine,0,79,73,3.9691,I,0.0078,5,5.3,0.002383208,0.207939,175L,0.825,99.175
Pacific cod,EFH18/19-175,Cook Bay,EG West,9/25/2018,Sept,2018,268,11,32,beach seine,0,79,73,3.386,I,0.0182,2,1.78,0.006229677,0.5502479,176L,3.865,96.135
Pacific cod,EFH18/19-176,Cook Bay,EG West,9/25/2018,Sept,2018,268,11,32,beach seine,0,62,57,1.3756,I,0.0024,4,3.7,0.002080805,0.1815019,177L,0.396,99.604
Pacific cod,EFH18/19-177,Cook Bay,EG West,9/25/2018,Sept,2018,268,11,32,beach seine,0,106,99,11.6376,M,0.0527,7,9.57,0.005479481,0.503266,178L,8.474,91.526
Pacific cod,EFH18/19-178,Cook Bay,EG West,9/25/2018,Sept,2018,268,11,32,beach seine,0,92,85,7.6345,M,0.0143,6,6.55,0.002238853,0.2008399,179L,0.878,99.122
Pacific cod,EFH18/19-179,Cook Bay,EG West,9/25/2018,Sept,2018,268,11,32,beach seine,0,93,87,7.6717,M,0.0481,7,8.51,0.008016934,0.6900608,180L,6.892,93.108
Pacific cod,EFH18/19-180,Cook Bay,EG West,9/25/2018,Sept,2018,268,11,32,beach seine,0,98,91,7.9866,M,0.0345,6,6.12,0.005129196,0.4622496,181L,3.781,96.219
Pacific cod,EFH18/19-181,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,55,51,1.3324,I,0.022,5,6.12,0.020124405,1.7903646,182L,15.263,84.737
Pacific cod,EFH18/19-182,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,53,49,1.2147,I,0.0136,4,6.55,0.013833791,1.2126616,183L,10.259,89.741
Pacific cod,EFH18/19-183,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,54,51,1.3385,I,0.0101,5,5.04,0.009165986,0.8009516,184L,5.025,94.975
Pacific cod,EFH18/19-184,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,59,54,1.7724,I,0.0101,5,8.09,0.007081756,0.6238804,185L,4.66,95.34
Pacific cod,EFH18/19-185,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,61,56,1.9534,I,0.0361,6,6.33,0.023441558,2.0125997,186L,33.338,66.662
Pacific cod,EFH18/19-186,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,51,47,0.9297,I,0.0021,3,3.9,0.002830189,0.2356109,187L,0.737,99.263
Pacific cod,EFH18/19-187,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,38,35,0.4273,I,0.0014,5,4.7,0.004433186,0.3449975,188L,0.533,99.467
Pacific cod,EFH18/19-188,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,37,34,0.3457,I,0.0012,4,2.78,0.005035669,0.3583159,189L,0.577,99.423
Pacific cod,EFH18/19-189,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,41,38,0.5249,I,0.0025,5,4.76,0.006727664,0.5026136,190L,1.094,98.906
Pacific cod,EFH18/19-190,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,53,48,1.1329,I,0.0046,5,5.44,0.005488605,0.4312365,191L,4.289,95.711
