Lipid Sample ID,Fish # (to pair liver & flesh),Year,Alisa's Age Estimate,Sex,Month,Site,Bay,Species,Standard Length (mm),Total Length (mm),Whole Body Weight (g) ,Whole Liver WWT (g),Stomach WWT (g),Lipid Sample WWT (g),Lipid Sample WWT (mg),FultonK,HIS,WholeBodyFA,LiverFA,MuscleFA,Whole_animal_FA_mg,PercentLiver,PercentMuscle
150L,54,2018,0,M,Oct,EG West,Cook,Pacific cod,88,94,7.7853,0.1056,0.5019,0.1056,105.6,1.142424047,1.356402451,74.11321233,7.37402334,27.49886569,34.87288903,21.14543287,78.85456713
167L,71,2018,0,F,Sept,EG South,Cook,Pacific cod,72,78,3.2672,0.0345,0.1481,0.0345,34.5,0.875342936,1.055950049,125.322438,4.132759007,15.14030515,19.27306416,21.44318606,78.55681394
148L,52,2018,0,M,Oct,EG West,Cook,Pacific cod,83,88,6.5617,0.0653,0.5865,0.0653,65.3,1.147577682,0.995168935,84.10563067,5.272428311,17.71483782,22.98726614,22.93629995,77.06370005
293L,99,2018,0,I,June,EG South,Cook,Pacific cod,57,62,2.0208,0.0272,0.1346,0.0272,27.2,1.091185952,1.346001584,106.6655981,2.733843061,9.061990889,11.79583395,23.17634406,76.82365594
341L,131,2020,0,I,Sept,EG South,Cook,Pacific cod,119,129,17.4,0.2261,1.1954,0.1398,139.8,1.032543517,1.299425287,64.66738401,14.07304159,38.7451373,52.81817889,26.64431429,73.35568571
151L,55,2018,0,M,Oct,EG West,Cook,Pacific cod,81,87,5.7342,0.0564,0.3,0.0564,56.4,1.078990895,0.983572251,113.0970073,6.183079209,16.81189545,22.99497466,26.8888281,73.1111719
408L,211,2020,0,I,Oct,EG South,Cook,Pacific cod,101,109,10.7011,0.1593,0.3754,0.1094,109.4,1.038638223,1.48863201,99.20299431,15.20176838,40.39068179,55.59245017,27.34502316,72.65497684
154L,58,2018,0,M,Oct,EG West,Cook,Pacific cod,87,95,6.8869,0.0602,0.4628,0.0602,60.2,1.045841856,0.874123336,90.76618491,5.330405285,13.00939723,18.33980252,29.06468202,70.93531798
158L,62,2018,0,M,Dec,EG West,Cook,Pacific cod,95,102,8.9747,0.2421,0.2541,0.1235,123.5,1.046764835,2.697583206,136.5039879,16.2480373,37.14889775,53.39693505,30.42878263,69.57121737
142L,46,2018,0,F,Oct,EG West,Cook,Pacific cod,96,103,9.2405,0.1123,0.6326,0.1123,112.3,1.044435854,1.215302202,143.340907,15.57817225,35.59458297,51.17275523,30.44231679,69.55768321
144L,48,2018,0,M,Oct,EG West,Cook,Pacific cod,108,116,15.9258,0.3312,0.987,0.1373,137.3,1.26424135,2.079644351,82.22092605,25.74947533,58.33244585,84.08192118,30.62427091,69.37572909
157L,61,2018,0,M,Dec,EG West,Cook,Pacific cod,80,85,5.5084,0.1272,0.5691,0.0881,88.1,1.075859375,2.309200494,75.43644007,6.295603126,13.76892506,20.06452819,31.37678129,68.62321871
160L,64,2018,0,M,Dec,EG West,Cook,Pacific cod,84,91,5.7518,0.1157,0.1863,0.11574,115.74,0.970433808,2.011544212,87.76133562,9.715576336,18.12813941,27.84371575,34.89324638,65.10675362
186L,90,2018,0,I,June,EG South,Cook,Pacific cod,56,61,1.9534,0.0361,0.1236,0.0361,36.1,1.112313229,1.848059793,126.245678,4.353413805,8.006197837,12.35961164,35.22290126,64.77709874
401L,204,2020,0,M,Oct,EG South,Cook,Pacific cod,125,134,20.6578,0.3915,0.4415,0.1072,107.2,1.05767936,1.895167927,158.8677427,60.42732376,89.59885438,150.0261781,40.27785318,59.72214682
406L,209,2020,0,M,Oct,EG South,Cook,Pacific cod,116,125,15.5129,0.2394,0.6323,0.0998,99.8,0.993845842,1.543231762,178.2936813,41.68029025,61.35464254,103.0349328,40.45258159,59.54741841
321L,111,2020,0,M,Nov,EG West,Cook,Pacific cod,103,112,10.7928,0.1693,0.4206,0.1053,105.3,0.98769409,1.568638351,126.6015352,20.93407684,30.10627256,51.0403494,41.01476006,58.98523994
317L,107,2020,0,M,Nov,EG South,Cook,Pacific cod,99,107,10.2128,0.2166,0.6566,0.0996,99.6,1.052541536,2.12086793,191.4794294,40.54256527,40.18180189,80.72436716,50.22345383,49.77654617
145L,49,2018,0,M,Oct,EG West,Cook,Pacific cod,91,98,7.8496,0.1924,0.4583,0.0851,85.1,1.041653673,2.45108031,169.1667404,32.11833661,14.6782624,46.79659901,68.63391205,31.36608795
318L,108,2020,0,M,Nov,EG West,Cook,Pacific cod,89,96,6.7532,0.2993,0.2894,0.1036,103.6,0.957942832,4.431972991,260.3796805,76.59368085,27.55709732,104.1507782,73.54115081,26.45884919
