Lipid Sample ID,Fish # (to pair liver & flesh),Year,Alisa's Age Estimate,Sex,Month,Site,Bay,Species,Standard Length (mm),Total Length (mm),Whole Body Weight (g) ,Whole Liver WWT (g),Stomach WWT (g),Lipid Sample WWT (g),Lipid Sample WWT (mg),FultonK,HIS,WholeBodyFA,LiverFA,MuscleFA,Whole_animal_FA_mg,PercentLiver,PercentMuscle
109L,13,2018,0,I,July,EG South,Cook,Pacific cod,48,52,1.1657,0.0079,0.059,0.0079,7.9,1.054054543,0.677704384,20.95897142,0.114432845,6.180537923,6.294970769,1.817845541,98.18215446
115L,19,2018,0,I,July,EG South,Cook,Pacific cod,62,67,2.3395,0.0122,0.0962,0.0122,12.2,0.981630358,0.521478948,19.97049256,0.183691929,9.840821392,10.02451332,1.832427398,98.1675726
305L,105,2018,0,I,June,EG South,Cook,Pacific cod,47,50,0.9843,0.0033,0.0734,0.0033,3.3,0.948055826,0.335263639,28.57828094,0.075670645,3.929727123,4.005397767,1.889216726,98.11078327
354L,157,2020,0,I,July,EG South,Cook,Pacific cod,61,65,2.0424,0.0126,0.1081,0.0126,12.6,0.899810997,0.616921269,16.29949347,0.153249059,7.949822533,8.103071592,1.891246517,98.10875348
301L,103,2018,0,I,June,EG South,Cook,Pacific cod,46,49,0.9363,0.0067,0.0438,0.0067,6.7,0.961925701,0.715582612,26.69364413,0.121068042,6.241897139,6.36296518,1.90269848,98.09730152
98L,2,2018,0,I,July,EG South,Cook,Pacific cod,49,53,1.214,0.006,0.0507,0.006,6,1.031882974,0.494233937,33.00852595,0.149289476,7.692967628,7.842257104,1.903654449,98.09634555
134L,38,2018,0,F,Aug,EG North,Cook,Pacific cod,77,71,4.1499,0.024,0.1687,0.024,24,0.909003292,0.578327189,14.25387809,0.253165751,13.03859826,13.29176402,1.904681353,98.09531865
135L,39,2018,0,I,Aug,EG North,Cook,Pacific cod,60,65,2.2988,0.0082,0.0923,0.0082,8.2,1.064259259,0.356707848,24.77104374,0.168119595,8.259418896,8.427538491,1.994883736,98.00511626
165L,69,2018,0,M,Sept,EG South,Cook,Pacific cod,77,84,4.9677,0.0091,0.4876,0.0091,9.1,1.088136016,0.183183365,31.67434039,0.256542096,12.40435273,12.66089483,2.026255647,97.97374435
365L,168,2020,0,I,July,EG South,Cook,Pacific cod,54,59,1.3941,0.0055,0.0806,0.0055,5.5,0.885345222,0.394519762,24.31668928,0.111322205,5.331785268,5.443107473,2.045195786,97.95480421
113L,17,2018,0,I,July,EG South,Cook,Pacific cod,67,72,2.9751,0.0199,0.1507,0.0199,19.9,0.989184175,0.668885079,21.66717903,0.314530786,14.78122671,15.09575749,2.08357074,97.91642926
381L,184,2020,0,I,Aug,EG South,Cook,Pacific cod,74,79,3.8417,0.0207,0.3529,0.0207,20.7,0.948043551,0.538823958,22.03169129,0.356344769,16.70572715,17.06207192,2.088519912,97.91148009
110L,14,2018,0,I,July,EG South,Cook,Pacific cod,53,57,1.5418,0.0111,0.1169,0.0111,11.1,1.035620008,0.719937735,18.44100654,0.143668327,6.660173043,6.80384137,2.111576669,97.88842333
372L,175,2020,0,I,Aug,EG South,Cook,Pacific cod,78,83,4.4455,0.0379,0.2174,0.0379,37.9,0.936778267,0.85254752,14.63190365,0.394515976,17.69316625,18.08768223,2.18113062,97.81886938
97L,1,2018,0,I,July,EG South,Cook,Pacific cod,56,60,1.774,0.0175,0.0802,0.0175,17.5,1.010158528,0.986471251,20.0295079,0.225242584,9.885892748,10.11113533,2.227668576,97.77233142
123L,27,2018,0,I,Aug,EG South,Cook,Pacific cod,62,66,2.4571,0.0118,0.0891,0.0118,11.8,1.03097412,0.480240934,25.18805206,0.238554222,10.41200629,10.65056052,2.239827864,97.76017214
349L,152,2020,0,I,July,EG South,Cook,Pacific cod,52,56,1.0379,0.0045,0.033,0.0045,4.5,0.738151457,0.433567781,54.88605218,0.206552007,8.989200436,9.195752443,2.246167546,97.75383245
385L,188,2020,0,I,Aug,EG South,Cook,Pacific cod,86,92,7.5231,0.0223,0.8702,0.0223,22.3,1.182773215,0.296420359,23.30426498,0.453937568,19.5491321,20.00306967,2.269339534,97.73066047
367L,170,2020,0,I,July,EG South,Cook,Pacific cod,53,56,1.316,0.0044,0.0355,0.0044,4.4,0.883951181,0.334346505,30.96776738,0.118663739,5.102786707,5.221450446,2.27262023,97.72737977
366L,169,2020,0,I,July,EG South,Cook,Pacific cod,58,62,1.6267,0.0088,0.1327,0.0088,8.8,0.83372627,0.540972521,32.48057699,0.230755229,9.294963669,9.525718898,2.422444239,97.57755576
138L,42,2018,0,M,Oct,EG South,Cook,Pacific cod,74,79,4.3079,0.0161,0.3315,0.0161,16.1,1.063091031,0.373731981,27.7899185,0.378915966,14.71170216,15.09061813,2.510937341,97.48906266
407L,210,2020,0,I,Oct,EG South,Cook,Pacific cod,96,103,8.6389,0.0471,0.3479,0.0471,47.1,0.976438169,0.545208302,17.94747188,0.693237026,26.62007817,27.31331519,2.538091846,97.46190815
379L,182,2020,0,I,Aug,EG South,Cook,Pacific cod,74,80,4.4283,0.0297,0.2272,0.0297,29.7,1.092802993,0.670686268,15.85674743,0.372479636,13.82963241,14.20211204,2.622705939,97.37729406
384L,187,2020,0,I,Aug,EG South,Cook,Pacific cod,72,77,3.5569,0.0144,0.2099,0.0144,14.4,0.952958891,0.404846917,19.55957262,0.243021876,8.941544019,9.184565895,2.645981078,97.35401892
328L,118,2020,0,I,Sept,EG South,Cook,Pacific cod,90,98,7.8518,0.0319,0.2987,0.0319,31.9,1.077064472,0.406276268,22.47526092,0.62054024,22.73349495,23.35403519,2.657100734,97.34289927
370L,173,2020,0,I,Aug,EG South,Cook,Pacific cod,81,86,5.0101,0.0357,0.2423,0.0357,35.7,0.942738705,0.712560628,20.05235511,0.565009051,19.99677121,20.56178026,2.747860563,97.25213944
363L,166,2020,0,I,July,EG South,Cook,Pacific cod,51,55,1.3008,0.009,0.0518,0.009,9,0.980618314,0.691881919,37.58259608,0.269234399,9.507901886,9.777136286,2.753714293,97.24628571
358L,161,2020,0,I,July,EG South,Cook,Pacific cod,52,58,1.2481,0.0064,0.1011,0.0064,6.4,0.887645084,0.512779425,44.87339694,0.239912196,8.425744861,8.665657057,2.768540163,97.23145984
322L,112,2020,0,I,Sept,EG South,Cook,Pacific cod,78,85,4.4735,0.0293,0.1944,0.0293,29.3,0.942678568,0.654968146,18.23661302,0.431293453,14.9452714,15.37656485,2.804875196,97.1951248
392L,195,2020,0,I,Oct,EG South,Cook,Pacific cod,83,90,6.0526,0.0583,0.2585,0.0583,58.3,1.05854103,0.963222417,21.23440387,0.919258642,31.35574967,32.27500831,2.848205748,97.15179425
397L,200,2020,0,I,Oct,EG South,Cook,Pacific cod,86,92,6.2127,0.0445,0.2477,0.0445,44.5,0.976753619,0.716274728,14.99219995,0.531728971,18.01746873,18.5491977,2.866587438,97.13341256
356L,159,2020,0,I,July,EG South,Cook,Pacific cod,54,58,1.2545,0.0084,0.0594,0.0084,8.4,0.796690037,0.669589478,42.73102376,0.291062557,9.589389685,9.880452242,2.945842455,97.05415755
402L,205,2020,0,I,Oct,EG South,Cook,Pacific cod,82,88,5.1252,0.0356,0.1542,0.0356,35.6,0.92954252,0.69460704,21.94757222,0.633948626,20.43268707,21.0666357,3.009254229,96.99074577
112L,16,2018,0,I,July,EG South,Cook,Pacific cod,62,67,2.2965,0.0197,0.1367,0.0197,19.7,0.963587996,0.857827128,27.15936485,0.40160219,12.86687771,13.2684799,3.026738504,96.9732615
327L,117,2020,0,I,Sept,EG South,Cook,Pacific cod,80,87,5.5088,0.0282,0.3806,0.0282,28.2,1.0759375,0.51190822,19.75009621,0.473960333,15.00926015,15.48322049,3.061122419,96.93887758
164L,68,2018,0,M,Sept,EG South,Cook,Pacific cod,76,83,4.3754,0.0221,0.2068,0.0221,22.1,0.996728751,0.505096677,24.31300688,0.451346642,14.05253193,14.50387857,3.111903062,96.88809694
335L,125,2020,0,I,Sept,EG South,Cook,Pacific cod,97,105,9.8596,0.0466,0.5866,0.0466,46.6,1.080299297,0.472635807,23.96126381,0.965068729,30.00087994,30.96594867,3.116548241,96.88345176
339L,129,2020,0,I,Sept,EG South,Cook,Pacific cod,76,83,3.6195,0.0238,0.154,0.0238,23.8,0.824532548,0.657549385,33.28326955,0.65653306,19.61027949,20.26681255,3.239449018,96.76055098
166L,70,2018,0,M,Sept,EG South,Cook,Pacific cod,92,99,7.5864,0.0419,0.3349,0.0419,41.9,0.97425413,0.552304123,16.82122699,0.591203431,17.33887545,17.93007888,3.297271779,96.70272822
107L,11,2018,0,I,July,EG South,Cook,Pacific cod,68,73,2.9848,0.0262,0.1266,0.0262,26.2,0.94926725,0.877780756,22.04814845,0.442684487,12.97633866,13.41902314,3.298932289,96.70106771
380L,183,2020,0,I,Aug,EG South,Cook,Pacific cod,87,94,6.8273,0.0429,0.3891,0.0429,42.9,1.036791024,0.628359674,24.94159984,0.894558103,26.15312915,27.04768726,3.307336759,96.69266324
101L,5,2018,0,I,July,EG South,Cook,Pacific cod,67,73,3.1112,0.0245,0.124,0.0245,24.5,1.034435752,0.787477501,28.68498957,0.552848324,16.12432221,16.67717053,3.315000723,96.68499928
362L,165,2020,0,I,July,EG South,Cook,Pacific cod,49,53,1.0231,0.0054,0.0444,0.0054,5.4,0.869620651,0.527807643,37.59525414,0.174874224,5.072001115,5.246875339,3.332921273,96.66707873
105L,9,2018,0,I,July,EG South,Cook,Pacific cod,56,60,1.8083,0.0153,0.0722,0.0153,15.3,1.029689778,0.846098546,25.83286429,0.307073527,8.867065134,9.174138661,3.34716466,96.65283534
393L,196,2020,0,I,Oct,EG South,Cook,Pacific cod,110,118,13.9083,0.1185,0.5145,0.1185,118.5,1.044951165,0.852009232,19.68474986,1.858738609,53.09047328,54.94921189,3.382648349,96.61735165
163L,67,2018,0,M,Sept,EG South,Cook,Pacific cod,85,91,6.3319,0.0241,0.3111,0.0241,24.1,1.031044169,0.380612454,25.17977817,0.536696004,15.11604871,15.65274471,3.428766097,96.5712339
174L,78,2018,0,I,Sept,EG West,Cook,Pacific cod,63,68,2.3472,0.0093,0.0996,0.0093,9.3,0.938703524,0.396216769,39.11035626,0.319262171,8.723577937,9.042840107,3.530551981,96.46944802
106L,10,2018,0,I,July,EG South,Cook,Pacific cod,64,69,2.7233,0.0306,0.1123,0.0306,30.6,1.038856506,1.123636764,23.706488,0.530699512,14.45947817,14.99017768,3.540315017,96.45968498
169L,73,2018,0,M,Sept,EG South,Cook,Pacific cod,70,76,2.7813,0.0204,0.1063,0.0204,20.4,0.810874636,0.73346996,29.03540821,0.483405226,12.37276919,12.85617441,3.760101646,96.23989835
390L,193,2020,0,I,Oct,EG South,Cook,Pacific cod,69,76,3.3301,0.0249,0.1345,0.0249,24.9,1.013701299,0.747725294,22.05029958,0.45897332,11.47043889,11.92941221,3.84740934,96.15259066
136L,40,2018,0,F,Aug,Lam East,Cook,Pacific cod,91,98,9.2871,0.0663,0.5881,0.0663,66.3,1.232412075,0.713893465,22.0081305,1.203014786,29.74479665,30.94781143,3.887237029,96.11276297
336L,126,2020,0,I,Sept,EG South,Cook,Pacific cod,77,82,4.2142,0.0248,0.1284,0.0248,24.8,0.923087707,0.588486545,26.10148019,0.562493616,13.88978142,14.45227504,3.892076608,96.10792339
176L,80,2018,0,I,Sept,EG West,Cook,Pacific cod,73,79,3.386,0.0182,0.0602,0.0182,18.2,0.87039898,0.537507383,23.25887666,0.366519137,8.92857954,9.295098676,3.943144116,96.05685588
127L,31,2018,0,F,Aug,EG North,Cook,Pacific cod,75,80,4.5437,0.028,0.3407,0.028,28,1.077025185,0.616237868,29.58336144,0.70288293,16.94800777,17.6508907,3.982138588,96.01786141
368L,171,2020,0,I,July,EG South,Cook,Pacific cod,55,59,1.3113,0.006,0.036,0.006,6,0.788159279,0.457561199,55.16184264,0.297533168,7.07378524,7.371318407,4.036362984,95.96363702
122L,26,2018,0,F,Aug,EG South,Cook,Pacific cod,65,71,2.5478,0.0217,0.1041,0.0217,21.7,0.927737824,0.851715205,16.86287691,0.295760434,7.024159599,7.319920033,4.040487225,95.95951278
181L,85,2018,0,M,Sept,EG West,Cook,Pacific cod,91,98,7.9866,0.0345,0.4886,0.0345,34.5,1.059833778,0.431973556,36.15893463,1.10345054,26.04111303,27.14456357,4.065088529,95.93491147
330L,120,2020,0,I,Sept,EG South,Cook,Pacific cod,82,89,5.7205,0.0277,0.3564,0.0277,27.7,1.037510338,0.484223407,33.63453577,0.830961815,19.40269293,20.23365474,4.106830061,95.89316994
