"Sample_num" "site" "date" "Month" "Year" "Jul_date" "Temp.ysi" "Sal.ysi" "TL" "SL" "body_wwt" "sex" "liver_wwt" "stom_full_code" "stomach_per_full" "HSIwet" "HSI_wet" "lipid_num" "liverFA" "muscleFA" "Harp" "Gammarid" "Poly" "calanoid" "crab" "Caprellidae" "Isopod" "gastropod" "Corphiidae" "Shrimp" "cumacea" "Euphasid" "Mysid" "OTHER" "Harp4" "Gammarid4" "Poly4" "calanoid4" "crab4" "Caprellidae4" "Isopod4" "gastropod4" "Corphiidae4" "Shrimp4" "cumacea4" "NMDS1" "NMDS2" "NMDS3"
"1" 96 "EG South" "7/16/2018" "July" 2018 197 10.9 30.9 60 56 1.774 "I" 0.0175 3 4.52 0.012671977 0.010439659 97 2.228 97.772 16.04938272 1.234567901 0 0 0 82.71604938 0 0 0 0 0 0 0 0 2.0015 1.0541 0 0 0 3.0158 0 0 0 0 0 -0.672403784309686 0.0388741031807847 0.127869071240154
"2" 97 "EG South" "7/16/2018" "July" 2018 197 10.9 30.9 53 49 1.214 "I" 0.006 4 4.18 0.006338475 0.005184481 98 1.904 98.096 46.15384615 53.84615385 0 0 0 0 0 0 0 0 0 0 0 0 2.6065 2.7089 0 0 0 0 0 0 0 0 0 -0.241022431637796 0.317569766206517 -0.577595889714307
"3" 98 "EG South" "7/16/2018" "July" 2018 197 10.9 30.9 54 49 1.3491 "I" 0.01 4 4.88 0.009436633 0.007854226 99 1.486 98.514 33.33333333 4.761904762 61.9047619 0 0 0 0 0 0 0 0 0 0 0 2.4028 1.4772 2.805 0 0 0 0 0 0 0 0 0.385304097342933 0.442782491531083 -0.0754065302814781
"4" 99 "EG South" "7/16/2018" "July" 2018 197 10.9 30.9 61 57 1.9093 "I" 0.0089 4 5.13 0.005975561 0.004937587 100 1.403 98.597 0.318471338 0 0 0 0 99.68152866 0 0 0 0 0 0 0 0 0.7512 0 0 0 0 3.1598 0 0 0 0 0 -0.845770787711019 -0.206994431270727 0.482144059723173
"5" 100 "EG South" "7/16/2018" "July" 2018 197 10.9 30.9 73 67 3.1112 "I" 0.0245 4 3.99 0.009298618 0.008269484 101 3.315 96.685 50 0 0 0 50 0 0 0 0 0 0 0 0 0 2.6591 0 0 0 2.6591 0 0 0 0 0 0 -0.105560767608304 0.990170758472792 -0.559778527184735
"6" 101 "EG South" "7/16/2018" "July" 2018 197 10.9 30.9 60 56 2.1394 "I" 0.0219 4 6.82 0.012525021 0.011108293 102 10.735 89.265 0.763358779 0 0 0 0 87.02290076 0 0 12.21374046 0 0 0 0 0 0.9347 0 0 0 0 3.0543 0 0 1.8694 0 0 -0.582416779638651 -0.109291357196622 0.734814816455644
"7" 102 "EG South" "7/16/2018" "July" 2018 197 10.9 30.9 65 60 2.3612 "I" 0.0297 5 6.46 0.015615963 0.013630106 103 9.825 90.175 0.561797753 14.41947566 0 0 0.187265918 84.83146067 0 0 0 0 0 0 0 0 0.8658 1.9487 0 0 0.6578 3.0349 0 0 0 0 0 -0.537186067429914 -0.312936055743229 -0.0100581151181335
"8" 103 "EG South" "7/16/2018" "July" 2018 197 10.9 30.9 69 64 2.7453 "I" 0.031 3 3.92 0.013576246 0.011892887 104 4.24 95.76 1.282051282 2.564102564 0 0 0 96.15384615 0 0 0 0 0 0 0 0 1.0641 1.2654 0 0 0 3.1314 0 0 0 0 0 -0.636751730090463 -0.215083392585247 0.168131208088984
"9" 104 "EG South" "7/16/2018" "July" 2018 197 10.9 30.9 60 56 1.8083 "I" 0.0153 3 3.99 0.009943459 0.008891213 105 3.347 96.653 0 4.347826087 0 0 13.04347826 82.60869565 0 0 0 0 0 0 0 0 0 1.444 0 0 1.9004 3.0148 0 0 0 0 0 -0.713882923193853 -0.597245499453919 -0.0113723139008202
"10" 105 "EG South" "7/16/2018" "July" 2018 197 10.9 30.9 69 64 2.7233 "I" 0.0306 3 4.12 0.013466532 0.011858627 106 3.54 96.46 0 46.875 0 0 6.25 46.875 0 0 0 0 0 0 0 0 0 2.6166 0 0 1.5811 2.6166 0 0 0 0 0 -0.512303559498372 -0.547667942592601 -0.277038726223648
