"","df","AICc"
"mod1",8.62983989471874,1902.80012694344
"mod2",5.40166602217616,1952.54021132958
"mod3",5.53095252821675,1926.52741465166
"mod4",6.03214740207838,1961.89640329947
"mod5",11.8580376656414,1896.1348256205
"mod6",8.62983989471874,1902.80012694344
"mod7",7.59590207801653,1912.89129960212
